scode,sname,b,c,t,y,p,st,sh,r,mg,bps,xsmll,pn
600143,金发科技,0.0468,"""-""",5389034426,44.50249185,127120019.2,-48.91878666,5.4204,1.31,3.60090062,-0.42135652,13.07460228,塑胶制品
600704,物产中大,0.1161,"""-""",58254396063,62.42734764,393402747.7,39.76922959,-56.98,2.03,5.79392439,-3.34261087,3.19506523,国际贸易
600703,三安光电,0.17,"""-""",1989934884,68.89859456,690954871.4,51.13655699,2.9844,3.89,4.46032835,0.1633699,45.80940711,电子元件
600699,均胜电子,0.22,"""-""",6526275230,202.6995795,207904396.4,72.18090529,313.7049,1.62,13.6039015,0.36030724,18.59171118,汽车行业
900940,大名城B,0.1125,"""-""",871802713.1,-46.98821832,278424122,90.12220957,512.1611,2.6,4.35946032,0.09797792,32.5302732,房地产
600094,大名城,0.1125,"""-""",871802713.1,-46.98821832,278424122,90.12220957,512.1611,2.6,4.35946032,0.09797792,32.5302732,房地产
600802,福建水泥,-0.114,"""-""",355320662.2,69.06302884,-43536662.61,45.04224474,-149.936,-6.07,1.81699778,-0.27259917,7.29883048,水泥建材
400067,欣泰3,-0.043,"""-""",11353428.27,-81.62038454,-7374967.85,-1292.117393,92.5431,-1.4,3.04642593,0.01912485,19.33371249,-
300514,友讯达,0.1171,0.1117,83991830.68,16.41634091,8782723.59,73.07231933,-52.556,3.71,3.2107804,-0.16134179,44.44807365,通讯行业
2866,传艺科技,0.21,0.19,118513728.5,2.13938595,22158179.57,101.8797499,-19.2564,5.45,3.77348383,0.58189149,32.9146158,电子元件
300609,汇纳科技,-0.0236,"""-""",15212601.21,157.0080807,-2363697.61,77.77538668,-107.9532,-0.76,4.28470731,-0.03556464,74.77568611,电子信息
300603,立昂技术,0.0404,"""-""",122840121,258.3998624,3794921.09,260.0144726,-80.1267,1.17,3.46005811,-1.17061792,13.13725153,软件服务
835993,泽衡环保,0.09,"""-""",13067692.3,18.38877523,5469669,117.6232019,"""-""",3.22,2.98936587,-0.19637741,67.45979288,-
600346,恒力股份,0.1,"""-""",4184705949,-7.9318403,286660708.1,124.7446767,-44.1186,4.78,2.17518879,0.18934258,16.1440886,化纤行业
61,农产品,0.0029,"""-""",579577508.9,21.82051188,4986280.12,21.31461373,103.9727,0.1,2.85837554,0.10353297,34.07537211,农牧饲渔
2039,黔源电力,-0.0127,"""-""",311213383.2,-44.83402139,-3866230.15,-106.6237747,93.9232,-0.18,6.95475157,0.74801929,51.34460909,电力行业
19,深深宝A,-0.022,"""-""",59762320.34,-17.65377556,-9918007.24,-60.40608088,-107.9868,-0.97,2.26263176,-0.02611798,23.0482161,食品饮料
200019,深深宝B,-0.022,"""-""",59762320.34,-17.65377556,-9918007.24,-60.40608088,-107.9868,-0.97,2.26263176,-0.02611798,23.0482161,食品饮料
835092,钢银电商,0.01,"""-""",13544481573,128.2245206,5117298.78,6.71490338,-5.6848,"""-""",1.6205002,-0.4012558,0.34476505,-
