scode,sname,b,c,t,y,p,st,sh,r,mg,bps,xsmll,pn
600581,八一钢铁,0.05,-0.412,9889835074,-6.30588814,37103243.85,101.4790271,347.4131,5.74,2.86710267,0.78758591,10.09418577,钢铁行业
600179,安通控股,0.5,0.45,3798127101,23.00146586,401292805.5,51.33946021,-60.3034,22.24,2.30339804,0.88472614,22.77139433,交运物流
600523,贵航股份,0.6,0.54,3361211068,5.01307119,173239507.5,4.63597795,154.6623,8.53,7.24786398,1.56347087,23.24942055,汽车行业
582,北部湾港,0.364,0.473,2994541520,-1.97033615,451738432.3,14.56260172,-50.1517,7.37,6.63727189,1.15495244,34.34655904,港口水运
768,中航飞机,0.1492,0.1041,26121848839,8.31855214,413133366.7,3.26980393,681.8858,2.7,5.54913053,0.51351076,7.1302231,航天航空
603609,禾丰牧业,0.51,0.48,11870578122,22.42370795,426978443.6,35.90215988,17.8329,15.1,3.61676618,0.24656075,9.62964461,农牧饲渔
835220,银禧光电,0.16,0.15,119004656.5,39.42715603,6735452.29,416.4781499,"""-""",13.17,1.32,-0.14780048,20.01768273,-
834321,明盛达,0.27,0.19,34801960.07,-1.35421979,3007646.59,9.46908614,"""-""",21.17,1.43,0.18941751,28.54122558,-
603536,惠发股份,0.47,0.44,889818985.1,6.30624081,42119477.64,-1.08587084,673.9679,10.81,4.53773534,1.42005541,28.33333129,食品饮料
832878,宝利祥,0.05,"""-""",40096846.92,4.13429358,693567.87,-77.78971792,"""-""",2.27,1.98,-0.33999102,20.39961518,-
833110,中教产业,0.3,0.2,69313753.25,16.75340447,3193019.28,51.56532164,"""-""",21.61,1.52,-0.0084684,11.28333556,-
832724,江苏三鑫,0.39,0.39,171385506.4,9.59517809,21926841.58,47.95199715,"""-""",12.82,3.1,0.45740213,30.63141384,-
603677,奇精机械,0.86,0.78,1117591685,-11.31685182,88175428.13,14.13290306,41.9397,21.16,7.61694954,1.88956196,20.91666129,家电行业
831626,胜禹股份,0.2919,0.2794,694215477.6,-4.4726189,30935629.4,-13.29832731,"""-""",15.1,1.67,0.12231076,13.78532691,-
601878,浙商证券,0.41,0.41,4594902988,-25.75577819,1240892309,-32.35646117,-43.2883,13.82,3.18849963,-1.96374913,"""-""",券商信托
603033,三维股份,1.16,1.15,757709810.4,-0.88839408,79099896.35,-13.08847882,7.6093,11.45,12.07985456,1.73384144,24.93772754,塑胶制品
430399,湘财证券,0.132,0.126,1609148375,-46.86283749,422027589.7,-65.18781645,"""-""",7.54,1.85,-2.26430008,"""-""",-
430539,扬子地板,0.52,0.4,369056296.8,12.66751457,52391053.77,3.4613171,"""-""",18.63,2.9,0.48691843,33.35804704,-
300313,天山生物,-0.72,-0.72,375207065.8,51.98698368,-139629761.4,-291.5589389,-193.324,-35.15,1.86292426,0.61643498,-1.13847272,农牧饲渔
300302,同有科技,0.31,0.29,471517013,30.57202224,128761246.4,95.39802553,189.9388,20.17,1.7082189,-0.1651229,44.5772293,软件服务
2648,卫星石化,0.39,0.38,5354641996,27.87691486,311564619.8,171.3753076,152.8501,9.34,4.20273517,0.92359377,22.27691879,化工行业
2426,胜利精密,0.1122,0.1088,13476864737,129.9585388,429421057.7,61.94507057,-189.2911,7.87,2.45413851,-0.04384103,10.99529737,金属制品
300003,乐普医疗,0.3913,0.3821,3467748234,25.24745768,679255737.6,30.40276194,-18.2551,14.7,3.10632846,0.38834171,60.95042351,医疗行业
601233,桐昆股份,1.03,0.94,25581572685,17.59652896,1132147064,882.7269099,172.2906,12.61,8.90871468,2.46806645,8.81560481,化纤行业
2233,塔牌集团,0.5077,0.4697,3629166497,-5.33630281,454230186.1,19.22468639,93.9076,10.1,5.22842936,1.08539707,26.10218615,水泥建材
600711,盛屯矿业,0.126,0.178,12710021495,90.78393634,188564934.3,36.19268661,13.6132,4.81,2.67825788,0.09161685,6.41865349,有色金属
872752,艾茉森,0.18,"""-""",89172742.06,26.11988912,4382957.42,35.99475809,"""-""",13.4,1.08368099,0.28768607,26.55303372,-
600929,湖南盐业,0.18,0.16,2175635186,-3.68338008,138593115.5,-31.9524453,"""-""",8.61,"""-""",0.41,53.5353151,食品饮料
872452,华塑股份,0,-0.03,3114120329,15.57780602,567002.03,100.5239874,"""-""",0.08,0.48,0.56877151,27.70010386,-
2931,锋龙股份,0.72,0.72,251499794.1,-0.73775369,42555542.61,12.62633285,"""-""",32.01,2.60821249,1.01326749,38.09657289,专用设备
872049,天诚通信,0.47,0.47,199772251.3,-9.17772152,23543687.79,-18.84975884,"""-""",32.84,1.34,0.98234179,26.10771745,-
871598,诚建检测,0.09,0.1,26564993.39,48.88374684,1031824.17,-35.1176723,"""-""",8.41,1.32,-0.19450829,34.77792207,-
2916,深南电路,1.31,1.12,4598502247,30.68853244,274164178,69.558547,-27.1543,18.48,7.51575025,3.82018608,20.53039234,电子元件
870387,迈睿达,0.32,0.32,82105774.96,62.52419213,5221455.1,125.3666073,"""-""",25.84,1.18,-0.49443997,20.86378449,-
839766,维多宝,0.0234,0.0319,50324347.64,1.2695419,424325.93,-21.19019529,"""-""",1.67,1.47,-0.52324192,27.5860561,-
2930,宏川智慧,0.46,0.41,367272236.3,10.54626612,83968461.29,4.79055566,"""-""",8.06,6.03,1.3736394,56.8334285,交运物流
603214,爱婴室,0.99,0.93,1584963203,14.18499886,73989572.4,24.10465251,"""-""",25.78,4.02,1.61,26.70062102,商业百货
838912,鑫承诺,-0.26,0.7075,29254548.05,-10.91770812,-2630414.73,-227.13408,"""-""",-16.02,1.51,0.06927798,32.94616732,-
